billingDate,articleNo,articleDescription,profitCenter,generalNamePro,brand,product,site,division,zone,territory,salesTypeDesc,billQty,basePrice
20220103,25266,HomeScreen Exp 32,STV,Sony TV,Sony,TV,DAD,Mumbai City,Central Zone,Dadar,Financed Sales,1,22080.0
20220103,25355,HomeScreen Ultra 55,STV,Sony TV,Sony,TV,POW,Mumbai Suburban,Central Zone,Powai,Financed Sales,1,59900.0
20220103,25467,LG QLED Vision 50,LTV,LG TV,LG,TV,GHA,Mumbai Suburban,Central Zone,Ghatkopar,Cash and Coupon,1,56740.0
20220103,49552,EcoCool BCD 260,PRF,Panasonic Refrigerator,Panasonic,RF,JUH,Mumbai Suburban,Western Zone,Juhu,Cash Sales,1,33650.0
20220104,24778,EcoCool BCD 290,PRF,Panasonic Refrigerator,Panasonic,RF,JUH,Mumbai Suburban,Western Zone,Juhu,Cash Sales,1,35220.0
20220104,25266,HomeScreen Exp 32,STV,Sony TV,Sony,TV,BOR,Mumbai Suburban,Western Zone,Borivali,Financed Sales,1,20120.0
20220104,25354,LG NanoPrecision 43,LTV,LG TV,LG,TV,MAL,Mumbai Suburban,Western Zone,Malad,Financed Sales,1,35470.0
20220104,25410,LG NanoPrecision 55,LTV,LG TV,LG,TV,COL,Mumbai City,Southern Zone,Colaba,Cash and Coupon,1,51420.0
20220104,37699,TechStream 4K 43,TTV,Toshiba TV,Toshiba,TV,JUH,Mumbai Suburban,Western Zone,Juhu,Cash and Coupon,1,32660.0
20220104,50060,EcoChill Mini 198,PRF,Panasonic Refrigerator,Panasonic,RF,BAN,Mumbai Suburban,Western Zone,Bandra,Cash Sales,1,25010.0
20220105,25143,EcoVision Pro 55,PTV,Panasonic TV,Panasonic,TV,JUH,Mumbai Suburban,Western Zone,Juhu,Cash Sales,1,47570.0
20220105,25143,EcoVision Pro 55,PTV,Panasonic TV,Panasonic,TV,POW,Mumbai Suburban,Central Zone,Powai,Cash Sales,1,49360.0
20220105,25354,LG NanoPrecision 43,LTV,LG TV,LG,TV,DAD,Mumbai City,Central Zone,Dadar,Cash Sales,1,37100.0
20220105,47902,LG AirComfort Dual 2T,LAC,LG AC,LG,AC,MAL,Mumbai Suburban,Western Zone,Malad,Cash and Coupon,1,52410.0
20220105,48010,EcoBreeze Split 1.5T,PAC,Panasonic AC,Panasonic,AC,COL,Mumbai City,Southern Zone,Colaba,Cash Sales,1,33820.0
20220106,25089,EcoVision UHD 43,PTV,Panasonic TV,Panasonic,TV,AND,Mumbai Suburban,Western Zone,Andheri,Financed Sales,1,29090.0
20220106,25355,HomeScreen Ultra 55,STV,Sony TV,Sony,TV,COL,Mumbai City,Southern Zone,Colaba,Cash Sales,1,61320.0
20220106,25410,LG NanoPrecision 55,LTV,LG TV,LG,TV,AND,Mumbai Suburban,Western Zone,Andheri,Cash Sales,1,53770.0
20220106,25410,LG NanoPrecision 55,LTV,LG TV,LG,TV,COL,Mumbai City,Southern Zone,Colaba,Cash and Coupon,1,53630.0
20220106,25410,LG NanoPrecision 55,LTV,LG TV,LG,TV,DAD,Mumbai City,Central Zone,Dadar,Financed Sales,1,54370.0
20220106,37632,TechStream HD 32,TTV,Toshiba TV,Toshiba,TV,JUH,Mumbai Suburban,Western Zone,Juhu,Cash Sales,2,44430.0
20220106,48010,EcoBreeze Split 1.5T,PAC,Panasonic AC,Panasonic,AC,POW,Mumbai Suburban,Central Zone,Powai,Cash and Coupon,1,34800.0
20220106,48210,FrostGuard Split 1.5T,HAC,Haier AC,Haier,AC,BAN,Mumbai Suburban,Western Zone,Bandra,Cash and Coupon,2,65000.0
20220106,48322,FrostGuard Dual 2T,HAC,Haier AC,Haier,AC,DAD,Mumbai City,Central Zone,Dadar,Cash Sales,1,44960.0
20220107,25143,EcoVision Pro 55,PTV,Panasonic TV,Panasonic,TV,AND,Mumbai Suburban,Western Zone,Andheri,Financed Sales,1,46270.0
20220107,25143,EcoVision Pro 55,PTV,Panasonic TV,Panasonic,TV,GHA,Mumbai Suburban,Central Zone,Ghatkopar,Cash Sales,2,92210.0
20220107,25266,HomeScreen Exp 32,STV,Sony TV,Sony,TV,MAL,Mumbai Suburban,Western Zone,Malad,Financed Sales,2,42090.0
20220107,25301,HomeScreen Pro 43,STV,Sony TV,Sony,TV,JUH,Mumbai Suburban,Western Zone,Juhu,Cash and Coupon,1,36280.0
20220107,25301,HomeScreen Pro 43,STV,Sony TV,Sony,TV,POW,Mumbai Suburban,Central Zone,Powai,Cash Sales,1,37690.0
20220107,25354,LG NanoPrecision 43,LTV,LG TV,LG,TV,JUH,Mumbai Suburban,Western Zone,Juhu,Cash Sales,2,73460.0
20220107,25410,LG NanoPrecision 55,LTV,LG TV,LG,TV,DAD,Mumbai City,Central Zone,Dadar,Cash Sales,2,106190.0
20220107,37699,TechStream 4K 43,TTV,Toshiba TV,Toshiba,TV,POW,Mumbai Suburban,Central Zone,Powai,Cash Sales,1,32540.0
20220107,48210,FrostGuard Split 1.5T,HAC,Haier AC,Haier,AC,COL,Mumbai City,Southern Zone,Colaba,Cash and Coupon,1,35650.0
20220108,25012,EcoVision HD 32,PTV,Panasonic TV,Panasonic,TV,JUH,Mumbai Suburban,Western Zone,Juhu,Cash and Coupon,1,20180.0
20220108,25089,EcoVision UHD 43,PTV,Panasonic TV,Panasonic,TV,COL,Mumbai City,Southern Zone,Colaba,Cash Sales,1,30970.0
20220108,25354,LG NanoPrecision 43,LTV,LG TV,LG,TV,DAD,Mumbai City,Central Zone,Dadar,Cash and Coupon,1,36700.0
20220108,48010,EcoBreeze Split 1.5T,PAC,Panasonic AC,Panasonic,AC,JUH,Mumbai Suburban,Western Zone,Juhu,Financed Sales,1,34900.0
20220108,48210,FrostGuard Split 1.5T,HAC,Haier AC,Haier,AC,POW,Mumbai Suburban,Central Zone,Powai,Cash and Coupon,1,32400.0
20220108,50060,EcoChill Mini 198,PRF,Panasonic Refrigerator,Panasonic,RF,AND,Mumbai Suburban,Western Zone,Andheri,Cash Sales,1,25990.0
20220109,24778,EcoCool BCD 290,PRF,Panasonic Refrigerator,Panasonic,RF,JUH,Mumbai Suburban,Western Zone,Juhu,Cash Sales,1,35080.0
20220109,25012,EcoVision HD 32,PTV,Panasonic TV,Panasonic,TV,COL,Mumbai City,Southern Zone,Colaba,Cash Sales,1,20460.0
20220109,25012,EcoVision HD 32,PTV,Panasonic TV,Panasonic,TV,JUH,Mumbai Suburban,Western Zone,Juhu,Financed Sales,1,20800.0
20220109,25012,EcoVision HD 32,PTV,Panasonic TV,Panasonic,TV,MAL,Mumbai Suburban,Western Zone,Malad,Cash Sales,2,37720.0
20220109,25354,LG NanoPrecision 43,LTV,LG TV,LG,TV,DAD,Mumbai City,Central Zone,Dadar,Financed Sales,1,36400.0
20220109,25410,LG NanoPrecision 55,LTV,LG TV,LG,TV,COL,Mumbai City,Southern Zone,Colaba,Cash Sales,1,55540.0
20220109,25410,LG NanoPrecision 55,LTV,LG TV,LG,TV,GHA,Mumbai Suburban,Central Zone,Ghatkopar,Financed Sales,1,51950.0
20220109,25467,LG QLED Vision 50,LTV,LG TV,LG,TV,MAL,Mumbai Suburban,Western Zone,Malad,Financed Sales,1,59990.0
20220109,48010,EcoBreeze Split 1.5T,PAC,Panasonic AC,Panasonic,AC,POW,Mumbai Suburban,Central Zone,Powai,Cash Sales,1,35970.0
20220109,48210,FrostGuard Split 1.5T,HAC,Haier AC,Haier,AC,BAN,Mumbai Suburban,Western Zone,Bandra,Cash Sales,1,31510.0
20220109,48210,FrostGuard Split 1.5T,HAC,Haier AC,Haier,AC,GHA,Mumbai Suburban,Central Zone,Ghatkopar,Financed Sales,1,35860.0
20220109,48266,FrostGuard Inverter 1T,HAC,Haier AC,Haier,AC,DAD,Mumbai City,Central Zone,Dadar,Financed Sales,1,26540.0
20220109,48322,FrostGuard Dual 2T,HAC,Haier AC,Haier,AC,BAN,Mumbai Suburban,Western Zone,Bandra,Financed Sales,1,48190.0
20220109,49552,EcoCool BCD 260,PRF,Panasonic Refrigerator,Panasonic,RF,GHA,Mumbai Suburban,Central Zone,Ghatkopar,Cash and Coupon,1,34100.0
20220110,25012,EcoVision HD 32,PTV,Panasonic TV,Panasonic,TV,COL,Mumbai City,Southern Zone,Colaba,Financed Sales,1,19130.0
20220110,25266,HomeScreen Exp 32,STV,Sony TV,Sony,TV,POW,Mumbai Suburban,Central Zone,Powai,Financed Sales,1,21720.0
20220110,25355,HomeScreen Ultra 55,STV,Sony TV,Sony,TV,POW,Mumbai Suburban,Central Zone,Powai,Cash Sales,1,64440.0
20220110,47855,LG AirComfort Inverter 1T,LAC,LG AC,LG,AC,POW,Mumbai Suburban,Central Zone,Powai,Cash Sales,2,55180.0
20220110,50060,EcoChill Mini 198,PRF,Panasonic Refrigerator,Panasonic,RF,POW,Mumbai Suburban,Central Zone,Powai,Cash Sales,3,81250.0
20220111,25012,EcoVision HD 32,PTV,Panasonic TV,Panasonic,TV,BOR,Mumbai Suburban,Western Zone,Borivali,Cash Sales,1,19880.0
20220111,25089,EcoVision UHD 43,PTV,Panasonic TV,Panasonic,TV,POW,Mumbai Suburban,Central Zone,Powai,Financed Sales,1,32560.0
20220111,25143,EcoVision Pro 55,PTV,Panasonic TV,Panasonic,TV,GHA,Mumbai Suburban,Central Zone,Ghatkopar,Financed Sales,1,44970.0
20220111,25266,HomeScreen Exp 32,STV,Sony TV,Sony,TV,GHA,Mumbai Suburban,Central Zone,Ghatkopar,Cash Sales,1,20170.0
20220111,37699,TechStream 4K 43,TTV,Toshiba TV,Toshiba,TV,JUH,Mumbai Suburban,Western Zone,Juhu,Cash Sales,1,30990.0
20220112,25012,EcoVision HD 32,PTV,Panasonic TV,Panasonic,TV,COL,Mumbai City,Southern Zone,Colaba,Financed Sales,1,20460.0
20220112,25354,LG NanoPrecision 43,LTV,LG TV,LG,TV,AND,Mumbai Suburban,Western Zone,Andheri,Financed Sales,1,34500.0
20220112,25410,LG NanoPrecision 55,LTV,LG TV,LG,TV,BAN,Mumbai Suburban,Western Zone,Bandra,Cash Sales,2,106990.0
20220112,25467,LG QLED Vision 50,LTV,LG TV,LG,TV,MAL,Mumbai Suburban,Western Zone,Malad,Financed Sales,1,58610.0
20220112,37699,TechStream 4K 43,TTV,Toshiba TV,Toshiba,TV,COL,Mumbai City,Southern Zone,Colaba,Cash Sales,2,62470.0
20220112,47808,LG AirComfort Deluxe 1.5T,LAC,LG AC,LG,AC,JUH,Mumbai Suburban,Western Zone,Juhu,Cash Sales,1,36460.0
20220112,47808,LG AirComfort Deluxe 1.5T,LAC,LG AC,LG,AC,POW,Mumbai Suburban,Central Zone,Powai,Cash and Coupon,1,38330.0
20220112,48123,EcoBreeze Window 1.5T,PAC,Panasonic AC,Panasonic,AC,POW,Mumbai Suburban,Central Zone,Powai,Financed Sales,1,24450.0
20220112,48322,FrostGuard Dual 2T,HAC,Haier AC,Haier,AC,BAN,Mumbai Suburban,Western Zone,Bandra,Financed Sales,1,46080.0
20220112,50060,EcoChill Mini 198,PRF,Panasonic Refrigerator,Panasonic,RF,DAD,Mumbai City,Central Zone,Dadar,Cash Sales,1,24960.0
20220112,50060,EcoChill Mini 198,PRF,Panasonic Refrigerator,Panasonic,RF,MAL,Mumbai Suburban,Western Zone,Malad,Cash and Coupon,1,25210.0
20220112,50060,EcoChill Mini 198,PRF,Panasonic Refrigerator,Panasonic,RF,POW,Mumbai Suburban,Central Zone,Powai,Cash Sales,1,25810.0
20220113,25012,EcoVision HD 32,PTV,Panasonic TV,Panasonic,TV,BOR,Mumbai Suburban,Western Zone,Borivali,Cash Sales,1,18760.0
20220113,25012,EcoVision HD 32,PTV,Panasonic TV,Panasonic,TV,GHA,Mumbai Suburban,Central Zone,Ghatkopar,Financed Sales,3,58430.0
20220113,25089,EcoVision UHD 43,PTV,Panasonic TV,Panasonic,TV,AND,Mumbai Suburban,Western Zone,Andheri,Cash Sales,1,30260.0
20220113,25143,EcoVision Pro 55,PTV,Panasonic TV,Panasonic,TV,COL,Mumbai City,Southern Zone,Colaba,Financed Sales,2,93730.0
20220113,25354,LG NanoPrecision 43,LTV,LG TV,LG,TV,JUH,Mumbai Suburban,Western Zone,Juhu,Financed Sales,1,33730.0
20220113,48266,FrostGuard Inverter 1T,HAC,Haier AC,Haier,AC,GHA,Mumbai Suburban,Central Zone,Ghatkopar,Cash Sales,1,27710.0
20220113,49552,EcoCool BCD 260,PRF,Panasonic Refrigerator,Panasonic,RF,DAD,Mumbai City,Central Zone,Dadar,Cash Sales,1,33400.0
20220114,25012,EcoVision HD 32,PTV,Panasonic TV,Panasonic,TV,COL,Mumbai City,Southern Zone,Colaba,Cash Sales,3,57820.0
20220114,25266,HomeScreen Exp 32,STV,Sony TV,Sony,TV,MAL,Mumbai Suburban,Western Zone,Malad,Financed Sales,1,20720.0
20220114,25301,HomeScreen Pro 43,STV,Sony TV,Sony,TV,JUH,Mumbai Suburban,Western Zone,Juhu,Financed Sales,1,38000.0
20220114,25410,LG NanoPrecision 55,LTV,LG TV,LG,TV,COL,Mumbai City,Southern Zone,Colaba,Cash Sales,2,109790.0
20220114,37632,TechStream HD 32,TTV,Toshiba TV,Toshiba,TV,JUH,Mumbai Suburban,Western Zone,Juhu,Financed Sales,1,23000.0
20220114,37632,TechStream HD 32,TTV,Toshiba TV,Toshiba,TV,MAL,Mumbai Suburban,Western Zone,Malad,Cash and Coupon,1,22160.0
20220114,37699,TechStream 4K 43,TTV,Toshiba TV,Toshiba,TV,DAD,Mumbai City,Central Zone,Dadar,Financed Sales,1,33740.0
20220114,47808,LG AirComfort Deluxe 1.5T,LAC,LG AC,LG,AC,COL,Mumbai City,Southern Zone,Colaba,Cash Sales,1,36460.0
20220114,47855,LG AirComfort Inverter 1T,LAC,LG AC,LG,AC,GHA,Mumbai Suburban,Central Zone,Ghatkopar,Cash Sales,1,30120.0
20220114,48322,FrostGuard Dual 2T,HAC,Haier AC,Haier,AC,DAD,Mumbai City,Central Zone,Dadar,Cash Sales,3,146160.0
20220114,48322,FrostGuard Dual 2T,HAC,Haier AC,Haier,AC,DAD,Mumbai City,Central Zone,Dadar,Cash Sales,1,46430.0
20220114,49552,EcoCool BCD 260,PRF,Panasonic Refrigerator,Panasonic,RF,MAL,Mumbai Suburban,Western Zone,Malad,Financed Sales,1,34310.0
20220114,50060,EcoChill Mini 198,PRF,Panasonic Refrigerator,Panasonic,RF,POW,Mumbai Suburban,Central Zone,Powai,Financed Sales,1,25640.0
20220115,25354,LG NanoPrecision 43,LTV,LG TV,LG,TV,AND,Mumbai Suburban,Western Zone,Andheri,Cash Sales,3,108500.0
20220115,25355,HomeScreen Ultra 55,STV,Sony TV,Sony,TV,POW,Mumbai Suburban,Central Zone,Powai,Cash Sales,1,60400.0
20220115,25467,LG QLED Vision 50,LTV,LG TV,LG,TV,JUH,Mumbai Suburban,Western Zone,Juhu,Cash Sales,1,56540.0
20220115,37632,TechStream HD 32,TTV,Toshiba TV,Toshiba,TV,JUH,Mumbai Suburban,Western Zone,Juhu,Financed Sales,1,23080.0
20220115,37632,TechStream HD 32,TTV,Toshiba TV,Toshiba,TV,JUH,Mumbai Suburban,Western Zone,Juhu,Cash Sales,1,21260.0
20220115,37745,TechStream Pro 50,TTV,Toshiba TV,Toshiba,TV,AND,Mumbai Suburban,Western Zone,Andheri,Cash and Coupon,2,86090.0
20220115,47855,LG AirComfort Inverter 1T,LAC,LG AC,LG,AC,GHA,Mumbai Suburban,Central Zone,Ghatkopar,Cash Sales,1,29320.0
20220115,48123,EcoBreeze Window 1.5T,PAC,Panasonic AC,Panasonic,AC,COL,Mumbai City,Southern Zone,Colaba,Cash and Coupon,1,24930.0
20220115,48210,FrostGuard Split 1.5T,HAC,Haier AC,Haier,AC,BAN,Mumbai Suburban,Western Zone,Bandra,Cash Sales,1,33880.0
20220116,25089,EcoVision UHD 43,PTV,Panasonic TV,Panasonic,TV,POW,Mumbai Suburban,Central Zone,Powai,Cash Sales,1,29330.0
20220116,25301,HomeScreen Pro 43,STV,Sony TV,Sony,TV,BOR,Mumbai Suburban,Western Zone,Borivali,Financed Sales,3,107690.0
20220116,25355,HomeScreen Ultra 55,STV,Sony TV,Sony,TV,COL,Mumbai City,Southern Zone,Colaba,Cash Sales,2,117930.0
20220116,37632,TechStream HD 32,TTV,Toshiba TV,Toshiba,TV,GHA,Mumbai Suburban,Central Zone,Ghatkopar,Financed Sales,3,62560.0
20220116,37745,TechStream Pro 50,TTV,Toshiba TV,Toshiba,TV,JUH,Mumbai Suburban,Western Zone,Juhu,Cash Sales,2,87320.0
20220116,48010,EcoBreeze Split 1.5T,PAC,Panasonic AC,Panasonic,AC,COL,Mumbai City,Southern Zone,Colaba,Financed Sales,1,35790.0
20220116,48010,EcoBreeze Split 1.5T,PAC,Panasonic AC,Panasonic,AC,POW,Mumbai Suburban,Central Zone,Powai,Financed Sales,2,72490.0
20220116,48322,FrostGuard Dual 2T,HAC,Haier AC,Haier,AC,DAD,Mumbai City,Central Zone,Dadar,Financed Sales,1,45610.0
20220117,25012,EcoVision HD 32,PTV,Panasonic TV,Panasonic,TV,BAN,Mumbai Suburban,Western Zone,Bandra,Cash Sales,1,18560.0
20220117,25354,LG NanoPrecision 43,LTV,LG TV,LG,TV,DAD,Mumbai City,Central Zone,Dadar,Cash Sales,1,34150.0
20220117,25410,LG NanoPrecision 55,LTV,LG TV,LG,TV,POW,Mumbai Suburban,Central Zone,Powai,Financed Sales,1,53690.0
20220117,37699,TechStream 4K 43,TTV,Toshiba TV,Toshiba,TV,BAN,Mumbai Suburban,Western Zone,Bandra,Financed Sales,1,31840.0
20220117,37699,TechStream 4K 43,TTV,Toshiba TV,Toshiba,TV,POW,Mumbai Suburban,Central Zone,Powai,Financed Sales,1,32090.0
20220118,25089,EcoVision UHD 43,PTV,Panasonic TV,Panasonic,TV,COL,Mumbai City,Southern Zone,Colaba,Financed Sales,1,31530.0
20220118,25301,HomeScreen Pro 43,STV,Sony TV,Sony,TV,JUH,Mumbai Suburban,Western Zone,Juhu,Cash and Coupon,3,109650.0
20220118,37745,TechStream Pro 50,TTV,Toshiba TV,Toshiba,TV,BOR,Mumbai Suburban,Western Zone,Borivali,Cash Sales,1,44140.0
20220118,48010,EcoBreeze Split 1.5T,PAC,Panasonic AC,Panasonic,AC,POW,Mumbai Suburban,Central Zone,Powai,Cash and Coupon,1,37570.0
20220119,25355,HomeScreen Ultra 55,STV,Sony TV,Sony,TV,BOR,Mumbai Suburban,Western Zone,Borivali,Financed Sales,1,66450.0
20220119,25467,LG QLED Vision 50,LTV,LG TV,LG,TV,BOR,Mumbai Suburban,Western Zone,Borivali,Cash Sales,1,56680.0
20220119,25467,LG QLED Vision 50,LTV,LG TV,LG,TV,DAD,Mumbai City,Central Zone,Dadar,Financed Sales,2,119700.0
20220119,37632,TechStream HD 32,TTV,Toshiba TV,Toshiba,TV,MAL,Mumbai Suburban,Western Zone,Malad,Financed Sales,1,21500.0
20220119,37745,TechStream Pro 50,TTV,Toshiba TV,Toshiba,TV,POW,Mumbai Suburban,Central Zone,Powai,Cash Sales,1,44730.0
20220120,25089,EcoVision UHD 43,PTV,Panasonic TV,Panasonic,TV,JUH,Mumbai Suburban,Western Zone,Juhu,Cash Sales,1,31530.0
20220120,25266,HomeScreen Exp 32,STV,Sony TV,Sony,TV,COL,Mumbai City,Southern Zone,Colaba,Cash Sales,1,21170.0
20220120,25354,LG NanoPrecision 43,LTV,LG TV,LG,TV,DAD,Mumbai City,Central Zone,Dadar,Cash Sales,1,34630.0
20220120,25410,LG NanoPrecision 55,LTV,LG TV,LG,TV,JUH,Mumbai Suburban,Western Zone,Juhu,Financed Sales,3,166960.0
20220120,37699,TechStream 4K 43,TTV,Toshiba TV,Toshiba,TV,DAD,Mumbai City,Central Zone,Dadar,Cash and Coupon,1,34140.0
20220120,48010,EcoBreeze Split 1.5T,PAC,Panasonic AC,Panasonic,AC,AND,Mumbai Suburban,Western Zone,Andheri,Cash Sales,1,34210.0
20220120,48123,EcoBreeze Window 1.5T,PAC,Panasonic AC,Panasonic,AC,COL,Mumbai City,Southern Zone,Colaba,Cash Sales,1,24250.0
20220121,25012,EcoVision HD 32,PTV,Panasonic TV,Panasonic,TV,COL,Mumbai City,Southern Zone,Colaba,Cash and Coupon,2,37360.0
20220121,25143,EcoVision Pro 55,PTV,Panasonic TV,Panasonic,TV,BAN,Mumbai Suburban,Western Zone,Bandra,Cash and Coupon,1,47010.0
20220121,25266,HomeScreen Exp 32,STV,Sony TV,Sony,TV,POW,Mumbai Suburban,Central Zone,Powai,Cash and Coupon,1,19970.0
20220121,25410,LG NanoPrecision 55,LTV,LG TV,LG,TV,AND,Mumbai Suburban,Western Zone,Andheri,Cash Sales,2,108230.0
20220121,25467,LG QLED Vision 50,LTV,LG TV,LG,TV,AND,Mumbai Suburban,Western Zone,Andheri,Financed Sales,1,57970.0
20220121,25467,LG QLED Vision 50,LTV,LG TV,LG,TV,COL,Mumbai City,Southern Zone,Colaba,Cash and Coupon,1,55720.0
20220121,37699,TechStream 4K 43,TTV,Toshiba TV,Toshiba,TV,GHA,Mumbai Suburban,Central Zone,Ghatkopar,Financed Sales,2,65090.0
20220121,48266,FrostGuard Inverter 1T,HAC,Haier AC,Haier,AC,AND,Mumbai Suburban,Western Zone,Andheri,Financed Sales,1,27730.0
20220121,48266,FrostGuard Inverter 1T,HAC,Haier AC,Haier,AC,BAN,Mumbai Suburban,Western Zone,Bandra,Cash and Coupon,2,52670.0
20220121,48266,FrostGuard Inverter 1T,HAC,Haier AC,Haier,AC,COL,Mumbai City,Southern Zone,Colaba,Financed Sales,1,26320.0
20220121,48322,FrostGuard Dual 2T,HAC,Haier AC,Haier,AC,DAD,Mumbai City,Central Zone,Dadar,Cash Sales,2,91690.0
20220121,49552,EcoCool BCD 260,PRF,Panasonic Refrigerator,Panasonic,RF,GHA,Mumbai Suburban,Central Zone,Ghatkopar,Financed Sales,1,32290.0
20220121,50060,EcoChill Mini 198,PRF,Panasonic Refrigerator,Panasonic,RF,POW,Mumbai Suburban,Central Zone,Powai,Financed Sales,1,25210.0
20220122,24778,EcoCool BCD 290,PRF,Panasonic Refrigerator,Panasonic,RF,DAD,Mumbai City,Central Zone,Dadar,Cash Sales,1,36790.0
20220122,25143,EcoVision Pro 55,PTV,Panasonic TV,Panasonic,TV,BOR,Mumbai Suburban,Western Zone,Borivali,Financed Sales,1,45780.0
20220122,25266,HomeScreen Exp 32,STV,Sony TV,Sony,TV,POW,Mumbai Suburban,Central Zone,Powai,Cash Sales,2,43880.0
20220122,25301,HomeScreen Pro 43,STV,Sony TV,Sony,TV,GHA,Mumbai Suburban,Central Zone,Ghatkopar,Financed Sales,3,105110.0
20220122,25354,LG NanoPrecision 43,LTV,LG TV,LG,TV,JUH,Mumbai Suburban,Western Zone,Juhu,Financed Sales,2,70270.0
20220122,25467,LG QLED Vision 50,LTV,LG TV,LG,TV,AND,Mumbai Suburban,Western Zone,Andheri,Financed Sales,1,56840.0
20220122,37632,TechStream HD 32,TTV,Toshiba TV,Toshiba,TV,BAN,Mumbai Suburban,Western Zone,Bandra,Cash Sales,2,45030.0
20220122,37632,TechStream HD 32,TTV,Toshiba TV,Toshiba,TV,JUH,Mumbai Suburban,Western Zone,Juhu,Financed Sales,1,21700.0
20220122,47855,LG AirComfort Inverter 1T,LAC,LG AC,LG,AC,MAL,Mumbai Suburban,Western Zone,Malad,Financed Sales,1,30030.0
20220123,24778,EcoCool BCD 290,PRF,Panasonic Refrigerator,Panasonic,RF,JUH,Mumbai Suburban,Western Zone,Juhu,Cash Sales,1,35310.0
20220123,25012,EcoVision HD 32,PTV,Panasonic TV,Panasonic,TV,JUH,Mumbai Suburban,Western Zone,Juhu,Financed Sales,1,20470.0
20220123,25089,EcoVision UHD 43,PTV,Panasonic TV,Panasonic,TV,MAL,Mumbai Suburban,Western Zone,Malad,Cash Sales,2,59250.0
20220123,25143,EcoVision Pro 55,PTV,Panasonic TV,Panasonic,TV,POW,Mumbai Suburban,Central Zone,Powai,Cash Sales,1,45560.0
20220123,25354,LG NanoPrecision 43,LTV,LG TV,LG,TV,DAD,Mumbai City,Central Zone,Dadar,Cash Sales,3,103650.0
20220123,25355,HomeScreen Ultra 55,STV,Sony TV,Sony,TV,COL,Mumbai City,Southern Zone,Colaba,Financed Sales,2,122560.0
20220123,25410,LG NanoPrecision 55,LTV,LG TV,LG,TV,AND,Mumbai Suburban,Western Zone,Andheri,Cash Sales,1,54110.0
20220123,25467,LG QLED Vision 50,LTV,LG TV,LG,TV,AND,Mumbai Suburban,Western Zone,Andheri,Financed Sales,1,54500.0
20220123,47808,LG AirComfort Deluxe 1.5T,LAC,LG AC,LG,AC,COL,Mumbai City,Southern Zone,Colaba,Financed Sales,1,36950.0
20220123,48210,FrostGuard Split 1.5T,HAC,Haier AC,Haier,AC,MAL,Mumbai Suburban,Western Zone,Malad,Cash and Coupon,1,35200.0
20220124,24778,EcoCool BCD 290,PRF,Panasonic Refrigerator,Panasonic,RF,DAD,Mumbai City,Central Zone,Dadar,Cash Sales,1,36810.0
20220124,25012,EcoVision HD 32,PTV,Panasonic TV,Panasonic,TV,DAD,Mumbai City,Central Zone,Dadar,Financed Sales,1,18780.0
